"AnimalID","AnimalInternal-ID","AnimalName","AnimalType","AnimalSex","AnimalCurrentWeightPounds","AnimalDOB","AnimalBreed","AnimalColor","AnimalPattern"
45628,1444011,"Emma","Dog","Female",53.3,20150306,"Retriever, Yellow Labrador /Mix","Blond /None",NULL
45629,1444014,"Rizzoli","Dog","Female",4.7,20161222,"Mixed Breed (Small)","Tan /None",NULL
45630,1444017,"Isles","Dog","Female",3.1,20161222,"Mixed Breed (Small)","White /None",NULL
45631,1444020,"Cory","Dog","Male",4.7,20161222,"Mixed Breed (Small)","Sable /None",NULL
45632,1444023,"Topanga","Dog","Female",8,20161222,"Mixed Breed (Small)","Tan /None",NULL
45638,1444317,"Huey","Dog","Male",10.5,20140107,"Mixed Breed (Small)","Tan /Brown",NULL
45639,1444319,"Dewey","Dog","Male",10.6,20140107,"Mixed Breed (Small)","Tan /Brown",NULL
45641,1444414,"Zydeco","Dog","Male",51,20150630,"Mixed Breed (Large)","Brown/White",NULL
45642,1444829,"Olivia","Dog","Female",14.5,20160818,"Corgi, Cardigan Welsh /Mix","White /Tan",NULL
45644,1445137,"Santa Clara","Dog","Female",28,20150103,"Collie /Mix","Tan /White",NULL
45645,1445160,"Flora","Dog","Female",56,20131223,"Shepherd, German/Mix","Sable/None",NULL
45648,1445198,"Meadow","Dog","Female",28,20121103,"Mixed Breed (Small)","Brown /None",NULL
45649,1445280,"Kit Kat","Dog","Female",31.6,20121103,"Retriever, Labrador /Chow Chow","Tan /None",NULL
45650,1445298,"Palo Alto","Dog","Male",92,20131203,"Shepherd, German/Mix","Sable/None",NULL
45651,1445310,"Frida","Dog","Female",44.44,20121103,"Catahoula Leopard Dog /Mix","White /Brown",NULL
45652,1445345,"Wilbur","Dog","Male",60,20141114,"Akita /Mix","Silver /Black",NULL
45653,1445351,"Sunnyvale","Dog","Female",39.1,20160607,"Shepherd","Brown /White",NULL
45654,1445364,"Sugar Plum","Dog","Female",28,20160619,"Retriever, Yellow Labrador /Mix","Yellow /None",NULL
45655,1445387,"Melbourne","Dog","Male",14.1,20081226,"Dachshund /Mix","Brown /None",NULL
45656,1445397,"Lolly","Dog","Female",28.2,20161004,"Hound /Mix","Yellow /None",NULL
45657,1445403,"Jolly","Dog","Female",32.5,20161004,"Hound /Mix","Brown /Black",NULL
45658,1445419,"Cupertino","Dog","Male",61,20141128,"Shepherd, German /Mix","Golden /Brown",NULL
45660,1445559,"Ian","Dog","Male",46.5,20150703,"Terrier, Pit Bull /Mix","White /Brown",NULL
45661,1445579,"Nokie","Dog","Female",57.8,20110618,"Terrier, American Staffordshire/Mix","Black/None",NULL
45666,1466952,"Aimee Lou","Dog","Female",23,20041227,"Shih Tzu /Bichon Frise","White /Tan",NULL
45681,1468297,"Snowflake","Dog","Female",50,20160105,"Pyrenees, Great /Retriever, Yellow Labrador","Cream /White",NULL
45682,1468318,"Blake","Dog","Female",11.19,20161104,"Retriever, Labrador /Mix","Black /None",NULL
45683,1468320,"Hanna","Dog","Female",7.1,20161104,"Retriever, Labrador /Mix","Black /None",NULL
